file,model_pred,confidence,verdict,hint
fail_0009.jpg,YWT,0.8942,captcha_wrong,验证码输入错误 请您重新输入!
fail_0012.jpg,HQVZ,0.7392,captcha_wrong,验证码输入错误 请您重新输入!
fail_0035.jpg,M3ON,0.8426,captcha_wrong,验证码输入错误 请您重新输入!
fail_0036.jpg,MN2,0.9983,captcha_wrong,验证码输入错误 请您重新输入!
fail_0049.jpg,OEM,0.9879,captcha_wrong,验证码输入错误 请您重新输入!
fail_0055.jpg,TVVL,0.8451,captcha_wrong,验证码输入错误 请您重新输入!
fail_0079.jpg,7HMZ,0.9418,captcha_wrong,验证码输入错误 请您重新输入!
fail_0119.jpg,JMCN,0.8605,captcha_wrong,验证码输入错误 请您重新输入!
fail_0132.jpg,CDM,0.9988,captcha_wrong,验证码输入错误 请您重新输入!
fail_0143.jpg,P4H,0.9997,captcha_wrong,验证码输入错误 请您重新输入!
fail_0154.jpg,R96,0.9992,captcha_wrong,验证码输入错误 请您重新输入!
fail_0171.jpg,11FY,0.9096,captcha_wrong,验证码输入错误 请您重新输入!
fail_0172.jpg,7WKF,0.99,captcha_wrong,验证码输入错误 请您重新输入!
fail_0190.jpg,CTW4,0.7769,captcha_wrong,验证码输入错误 请您重新输入!
fail_0205.jpg,UWIW,0.8571,captcha_wrong,验证码输入错误 请您重新输入!
fail_0218.jpg,RA3,0.9994,captcha_wrong,验证码输入错误 请您重新输入!
fail_0220.jpg,GPOM,0.9538,captcha_wrong,验证码输入错误 请您重新输入!
fail_0226.jpg,NQML,0.7984,captcha_wrong,验证码输入错误 请您重新输入!
fail_0228.jpg,QMCR,0.8482,captcha_wrong,验证码输入错误 请您重新输入!
fail_0236.jpg,2XM1,0.9363,captcha_wrong,验证码输入错误 请您重新输入!
fail_0279.jpg,XMBE,0.8769,captcha_wrong,验证码输入错误 请您重新输入!
fail_0298.jpg,QMLF,0.9648,captcha_wrong,验证码输入错误 请您重新输入!
fail_0316.jpg,NWGL,0.9563,captcha_wrong,验证码输入错误 请您重新输入!
fail_0337.jpg,8ONJ,0.8674,captcha_wrong,验证码输入错误 请您重新输入!
fail_0343.jpg,WD6D,0.7974,captcha_wrong,验证码输入错误 请您重新输入!
fail_0368.jpg,WBI4,0.947,captcha_wrong,验证码输入错误 请您重新输入!
fail_0392.jpg,JM3H,0.9057,captcha_wrong,验证码输入错误 请您重新输入!
fail_0413.jpg,Q9UL,0.8922,captcha_wrong,验证码输入错误 请您重新输入!
fail_0418.jpg,MD2,0.9973,captcha_wrong,验证码输入错误 请您重新输入!
fail_0419.jpg,WKE1,0.8997,captcha_wrong,验证码输入错误 请您重新输入!
fail_0420.jpg,FIMB,0.8378,captcha_wrong,验证码输入错误 请您重新输入!
fail_0453.jpg,UARE,0.9964,captcha_wrong,验证码输入错误 请您重新输入!
fail_0462.jpg,7DML,0.8144,captcha_wrong,验证码输入错误 请您重新输入!
fail_0512.jpg,SGLO,0.9524,captcha_wrong,验证码输入错误 请您重新输入!
fail_0515.jpg,XL6K,0.8485,captcha_wrong,验证码输入错误 请您重新输入!
fail_0540.jpg,0H57,0.8675,captcha_wrong,验证码输入错误 请您重新输入!
fail_0542.jpg,ZMT,0.9989,captcha_wrong,验证码输入错误 请您重新输入!
fail_0543.jpg,12QT,0.9428,captcha_wrong,验证码输入错误 请您重新输入!
fail_0558.jpg,MM01,0.7551,captcha_wrong,验证码输入错误 请您重新输入!
fail_0560.jpg,DNMI,0.8577,captcha_wrong,验证码输入错误 请您重新输入!
fail_0574.jpg,KW0N,0.8686,captcha_wrong,验证码输入错误 请您重新输入!
fail_0608.jpg,MMYZ,0.9017,captcha_wrong,验证码输入错误 请您重新输入!
fail_0612.jpg,MNM,0.9954,captcha_wrong,验证码输入错误 请您重新输入!
fail_0624.jpg,WYXNN,0.7769,captcha_wrong,验证码输入错误 请您重新输入!
fail_0635.jpg,UZXV,0.9785,captcha_wrong,验证码输入错误 请您重新输入!
fail_0644.jpg,U9N,0.9953,captcha_wrong,验证码输入错误 请您重新输入!
fail_0661.jpg,1II6,0.931,captcha_wrong,验证码输入错误 请您重新输入!
fail_0665.jpg,NNYBT,0.8014,captcha_wrong,验证码输入错误 请您重新输入!
fail_0670.jpg,Q3YA,0.9768,captcha_wrong,验证码输入错误 请您重新输入!
fail_0671.jpg,TM8M,0.8651,captcha_wrong,验证码输入错误 请您重新输入!
fail_0678.jpg,V3F3M,0.8646,captcha_wrong,验证码输入错误 请您重新输入!
fail_0709.jpg,4JMK,0.884,captcha_wrong,验证码输入错误 请您重新输入!
fail_0710.jpg,7CL,0.9989,captcha_wrong,验证码输入错误 请您重新输入!
fail_0723.jpg,Q8ZS,0.9017,captcha_wrong,验证码输入错误 请您重新输入!
fail_0744.jpg,JAYQ,0.9965,captcha_wrong,验证码输入错误 请您重新输入!
fail_0753.jpg,WAAO,0.8888,captcha_wrong,验证码输入错误 请您重新输入!
fail_0771.jpg,EW1,0.9973,captcha_wrong,验证码输入错误 请您重新输入!
fail_0775.jpg,1NOQ,0.9586,captcha_wrong,验证码输入错误 请您重新输入!
fail_0800.jpg,006YV,0.8751,captcha_wrong,验证码输入错误 请您重新输入!
fail_0818.jpg,I4DV8,0.8674,captcha_wrong,验证码输入错误 请您重新输入!
fail_0832.jpg,WI2,0.9962,captcha_wrong,验证码输入错误 请您重新输入!
fail_0840.jpg,ZMJ8,0.8835,captcha_wrong,验证码输入错误 请您重新输入!
fail_0854.jpg,WREE,0.8262,captcha_wrong,验证码输入错误 请您重新输入!
fail_0871.jpg,I35E,0.9015,captcha_wrong,验证码输入错误 请您重新输入!
fail_0875.jpg,J47B,0.997,captcha_wrong,验证码输入错误 请您重新输入!
fail_0908.jpg,7DXU,0.8811,captcha_wrong,验证码输入错误 请您重新输入!
fail_0927.jpg,NO90,0.8821,captcha_wrong,验证码输入错误 请您重新输入!
fail_0928.jpg,MMO6,0.8506,captcha_wrong,验证码输入错误 请您重新输入!
fail_0929.jpg,990L,0.8956,captcha_wrong,验证码输入错误 请您重新输入!
fail_0940.jpg,3Q75,0.9676,captcha_wrong,验证码输入错误 请您重新输入!
fail_0960.jpg,28N0,0.915,captcha_wrong,验证码输入错误 请您重新输入!
fail_0969.jpg,1GWK,0.9194,captcha_wrong,验证码输入错误 请您重新输入!
fail_0986.jpg,6BID,0.923,captcha_wrong,验证码输入错误 请您重新输入!
